iter	RMSE
0	7.815665792
1	7.509115921
2	7.226068687
3	6.95361344
4	6.697972356
5	6.459696932
6	6.232253713
7	6.019200654
8	5.818285057
9	5.629953469
10	5.455583625
11	5.286030974
12	5.13099683
13	4.986043689
14	4.848034808
15	4.721927356
16	4.601524972
17	4.487914636
18	4.387359859
19	4.287995116
20	4.198510959
21	4.114214258
22	4.037719202
23	3.965911582
24	3.900633486
25	3.836966757
26	3.779523515
27	3.72645723
28	3.674754332
29	3.629236851
30	3.586347405
31	3.545057927
32	3.508905453
33	3.474077788
34	3.442603492
35	3.414075619
36	3.388162788
37	3.360387532
38	3.333207123
39	3.311426682
40	3.291200252
41	3.269930109
42	3.251981324
43	3.233050175
44	3.217184332
45	3.19800032
46	3.182694521
47	3.1678821
48	3.156401323
49	3.142400144
50	3.131218663
51	3.120110553
52	3.107930845
53	3.099400629
54	3.08845667
55	3.080593372
56	3.071390222
57	3.063257509
58	3.056380026
59	3.048004047
60	3.040221008
61	3.034990061
62	3.027803366
63	3.021925972
64	3.016846294
65	3.006124225
66	3.000139637
67	2.994465867
68	2.988159069
69	2.982305259
70	2.976931424
71	2.971824204
72	2.967896026
73	2.963525858
74	2.961407948
75	2.956088957
76	2.952380131
77	2.948684311
78	2.94550662
79	2.94215254
80	2.938743334
81	2.934379462
82	2.932498137
83	2.93069876
84	2.927693598
85	2.926026639
86	2.918490797
87	2.915296037
88	2.913189961
89	2.910619758
90	2.909000223
91	2.906320656
92	2.904565677
93	2.903960147
94	2.902183795
95	2.899868082
96	2.899302906
97	2.89670269
98	2.89494459
99	2.892890026
100	2.8909986
101	2.890544987
102	2.889663188
103	2.888247238
104	2.886721994
105	2.885783812
106	2.88487975
107	2.882229348
108	2.880609029
109	2.878029236
110	2.87645171
111	2.875591289
112	2.873494673
113	2.870940755
114	2.866393079
115	2.865422709
116	2.863712779
117	2.863350165
118	2.862222794
119	2.862034851
120	2.859916082
121	2.859274238
122	2.859098721
123	2.854956198
124	2.847729448
125	2.847465843
126	2.844872913
127	2.844850645
128	2.844850612
129	2.84481887
130	2.844458843
131	2.844443308
132	2.844180251
133	2.844179897
134	2.84240645
135	2.840834047
136	2.840690112
137	2.839025456
138	2.836620748
139	2.831871997
140	2.831450226
141	2.830999357
142	2.830763308
143	2.829903073
144	2.827826734
145	2.826555792
146	2.82637558
147	2.826116495
148	2.82610701
149	2.822236902
150	2.819037974
151	2.816038731
152	2.815854803
153	2.815435705
154	2.814060875
155	2.812366247
156	2.806613101
157	2.803862855
158	2.803862855
159	2.803746974
160	2.802863509
161	2.795925886
162	2.792883061
163	2.791563987
164	2.790378549
165	2.790280738
166	2.789948801
167	2.786924059
168	2.78692314
169	2.777445083
170	2.777307096
171	2.776698868
172	2.775676058
173	2.774467155
174	2.771835725
175	2.771384018
176	2.770826089
177	2.770807209
178	2.768880239
179	2.765278723
180	2.765249941
181	2.764028374
182	2.760786237
183	2.758220763
184	2.75821597
185	2.756500356
186	2.753069575
187	2.750770089
188	2.750591521
189	2.750024384
190	2.748338575
191	2.747115279
192	2.74439438
193	2.743994242
194	2.743987449
195	2.739651788
196	2.739083231
197	2.737292932
198	2.734537947
199	2.733863397
200	2.729849122
201	2.726515453
202	2.72623958
203	2.723541515
204	2.723361923
205	2.72300192
206	2.722806676
207	2.720333794
208	2.718280645
209	2.716264287
210	2.71546915
211	2.714027976
212	2.713498856
213	2.713495114
214	2.713190859
215	2.712077768
216	2.702370138
217	2.702068518
218	2.701796296
219	2.701545991
220	2.700985833
221	2.700750405
222	2.700540649
223	2.700287961
224	2.69744193
225	2.695677725
226	2.692350733
227	2.691160348
228	2.69049442
229	2.689915493
230	2.687970599
231	2.686345021
232	2.684786543
233	2.68447891
234	2.683736152
235	2.682348881
236	2.675090597
237	2.675022609
238	2.67499098
239	2.674309661
240	2.674309632
241	2.67319279
242	2.66950693
243	2.668710383
244	2.668708327
245	2.667801507
246	2.666476009
247	2.660558674
248	2.657520998
249	2.654901984
250	2.65143544
251	2.64956928
252	2.648012531
253	2.647811473
254	2.645875842
255	2.638310695
256	2.638019927
257	2.63796108
258	2.632402233
259	2.630363942
260	2.628282517
261	2.627936852
262	2.625703171
263	2.6224475
264	2.621983113
265	2.618506688
266	2.615620345
267	2.614517462
268	2.613308465
269	2.612619989
270	2.608795885
271	2.608524155
272	2.604797395
273	2.601435245
274	2.597685813
275	2.597033598
276	2.592523602
277	2.591939312
278	2.591022407
279	2.590862794
280	2.586966298
281	2.585417608
282	2.584619597
283	2.582588161
284	2.58234338
285	2.580046751
286	2.576512428
287	2.575086794
288	2.572638412
289	2.571586578
290	2.571325454
291	2.569148057
292	2.568997615
293	2.568165138
294	2.568026473
295	2.564702011
296	2.564278967
297	2.562520224
298	2.559922924
299	2.557900123
300	2.557504442
301	2.555261506
302	2.551915536
303	2.549709554
304	2.5485692
305	2.546289352
306	2.546082924
307	2.546019764
308	2.54393118
309	2.541458385
310	2.541400092
311	2.541272466
312	2.54090054
313	2.540431114
314	2.53784108
315	2.537477033
316	2.535051094
317	2.532807418
318	2.526887234
319	2.524864822
320	2.524840431
321	2.523247852
322	2.523225626
323	2.52310821
324	2.52308697
325	2.520584246
326	2.52056562
327	2.520457513
328	2.517671818
329	2.516298635
330	2.516197204
331	2.513606201
332	2.513588885
333	2.509341184
334	2.508308388
335	2.508210036
336	2.508115681
337	2.508024908
338	2.507431214
339	2.507343985
340	2.507327501
341	2.506749057
342	2.50529263
343	2.503903133
344	2.503889063
345	2.503331265
346	2.502813643
347	2.502309807
348	2.502224998
349	2.502143566
350	2.502065279
351	2.499801161
352	2.499711411
353	2.499638771
354	2.499209467
355	2.496618735
356	2.494782067
357	2.492477071
358	2.492352649
359	2.492284121
360	2.4922707
361	2.492155117
362	2.492043756
363	2.491979856
364	2.491456263
365	2.488851711
366	2.488839181
367	2.488725404
368	2.484438355
369	2.483807579
370	2.48333776
371	2.479332072
372	2.47887754
373	2.477222712
374	2.475081568
375	2.473380579
376	2.472936592
377	2.472826276
378	2.472393844
379	2.471972691
380	2.469960306
381	2.468992848
382	2.468805191
383	2.466860756
384	2.466682753
385	2.466283701
386	2.464509777
387	2.462251438
388	2.460041416
389	2.456305451
390	2.454336437
391	2.452274983
392	2.450369934
393	2.448635031
394	2.44639178
395	2.446223
396	2.444036616
397	2.442463645
398	2.438356704
399	2.436177277
400	2.434164867
401	2.432658869
402	2.428611838
403	2.425381034
404	2.42375166
405	2.421029924
406	2.417946698
407	2.414551156
408	2.412414664
409	2.408865957
410	2.406388688
411	2.403275145
412	2.396888219
413	2.393789394
414	2.391800141
415	2.388691064
416	2.385060636
417	2.382291083
418	2.380434776
419	2.377122561
420	2.374471531
421	2.371598929
422	2.36881482
423	2.36722999
424	2.362941568
425	2.359109864
426	2.357434964
427	2.352750784
428	2.351568591
429	2.350047653
430	2.34990104
431	2.347502968
432	2.345857785
433	2.345719019
434	2.344144949
435	2.342484722
436	2.341300199
437	2.341169352
438	2.339644119
439	2.338762503
440	2.337933213
441	2.335626903
442	2.332780031
443	2.331094414
444	2.330739778
445	2.329172945
446	2.323988002
447	2.323081554
448	2.321122116
449	2.319705486
450	2.319362207
451	2.317990583
452	2.312851305
453	2.310024921
454	2.30752197
455	2.304743191
456	2.302124248
457	2.301756445
458	2.298753354
459	2.296770382
460	2.29554789
461	2.292399434
462	2.28960093
463	2.288848207
464	2.288130848
465	2.285282354
466	2.282760543
467	2.280362487
468	2.279197173
469	2.276916849
470	2.271126482
471	2.270772405
472	2.268929158
473	2.268609361
474	2.267914637
475	2.266122157
476	2.265032255
477	2.26226161
478	2.261958219
479	2.260902115
480	2.259787752
481	2.257223334
482	2.256156805
483	2.252183542
484	2.251158078
485	2.250850729
486	2.250231953
487	2.249962228
488	2.248979488
489	2.244354333
490	2.243415644
491	2.240313036
492	2.239898935
493	2.237445366
494	2.237177971
495	2.232155895
496	2.230535485
497	2.228198786
498	2.223109693
499	2.217901606
500	2.217639721
501	2.215959742
502	2.215704535
503	2.210076439
504	2.207730049
505	2.203096093
506	2.199394413
507	2.196809975
508	2.192205048
509	2.18951641
510	2.187393184
511	2.185611309
512	2.185371571
513	2.183194014
514	2.182658707
515	2.181844126
516	2.177841123
517	2.177269936
518	2.17297843
519	2.172894987
520	2.172077591
521	2.168612074
522	2.164209768
523	2.16121409
524	2.160988333
525	2.160768548
526	2.157786307
527	2.157702458
528	2.155210206
529	2.154455856
530	2.150091658
531	2.148110503
532	2.146626825
533	2.144651504
534	2.144440836
535	2.141103332
536	2.139736385
537	2.139062144
538	2.138978781
539	2.138273247
540	2.135415794
541	2.135038436
542	2.134957493
543	2.133093854
544	2.130808548
545	2.128680627
546	2.126143727
547	2.124604988
548	2.122189403
549	2.116154453
550	2.114156556
551	2.11295357
552	2.109727358
553	2.10877869
554	2.105680725
555	2.102196914
556	2.101151385
557	2.098912799
558	2.097231877
559	2.095599199
560	2.094985379
561	2.094081446
562	2.08986324
563	2.085502636
564	2.083357479
565	2.082471827
566	2.079003467
567	2.078136889
568	2.072623818
569	2.069793209
570	2.069714787
571	2.067233469
572	2.065057936
573	2.064490075
574	2.063024035
575	2.059051672
576	2.056168313
577	2.055289264
578	2.054027003
579	2.05139603
580	2.049390765
581	2.048157022
582	2.045072652
583	2.044259618
584	2.043084042
585	2.041225225
586	2.038373413
587	2.037198142
588	2.034111574
589	2.032791402
590	2.029068223
