iter	Passed	Remaining
0	240	240263
1	321	160330
2	407	135418
3	489	121837
4	569	113345
5	651	107987
6	737	104616
7	818	101516
8	900	99124
9	981	97123
10	1060	95370
11	1145	94338
12	1227	93173
13	1306	92016
14	1390	91297
15	1476	90805
16	1556	90010
17	1638	89409
18	1721	88880
19	1804	88428
20	1887	87978
21	1969	87570
22	2053	87246
23	2135	86828
24	2219	86542
25	2299	86140
26	2385	85972
27	2486	86302
28	2569	86033
29	2653	85783
30	2739	85629
31	2832	85692
32	2918	85519
33	2997	85172
34	3084	85046
35	3167	84828
36	3253	84683
37	3345	84690
38	3431	84555
39	3515	84363
40	3606	84353
41	3698	84372
42	3807	84748
43	3894	84625
44	3983	84538
45	4071	84440
46	4156	84277
47	4242	84146
48	4328	83999
49	4410	83803
50	4490	83563
51	4575	83421
52	4696	83913
53	4781	83769
54	4871	83708
55	4951	83464
56	5040	83394
57	5131	83340
58	5218	83225
59	5304	83107
60	5394	83032
61	5484	82977
62	5577	82948
63	5661	82800
64	5749	82709
65	5833	82547
66	5919	82429
67	6008	82351
68	6098	82287
69	6188	82215
70	6279	82163
71	6371	82124
72	6471	82175
73	6559	82085
74	6652	82052
75	6749	82061
76	6837	81963
77	6930	81916
78	7020	81851
79	7112	81790
80	7195	81635
81	7275	81455
82	7368	81404
83	7452	81267
84	7544	81210
85	7638	81185
86	7738	81209
87	7836	81213
88	7929	81164
89	8044	81340
90	8257	82486
91	8407	82982
92	8546	83348
93	8679	83654
94	8826	84083
95	9008	84830
96	9160	85282
97	9295	85560
98	9482	86300
99	9688	87199
100	9840	87586
101	9979	87854
102	10097	87933
103	10211	87977
104	10341	88146
105	10482	88412
106	10627	88695
107	10779	89031
108	10923	89294
109	11068	89552
110	11207	89760
111	11347	89968
112	11487	90172
113	11615	90273
114	11760	90506
115	11906	90732
116	12052	90959
117	12198	91174
118	12339	91352
119	12476	91493
120	12621	91691
121	12765	91869
122	12904	92012
123	13048	92183
124	13194	92362
125	13329	92460
126	13489	92729
127	13612	92736
128	13689	92428
129	13841	92629
130	13978	92724
131	14026	92235
132	14148	92231
133	14251	92101
134	14426	92433
135	14591	92696
136	14729	92783
137	14870	92887
138	15023	93060
139	15172	93199
140	15301	93220
141	15436	93271
142	15588	93422
143	15798	93912
144	15973	94188
145	16147	94454
146	16328	94748
147	16450	94702
148	16499	94234
149	16632	94253
150	16773	94311
151	16916	94378
152	17055	94419
153	17190	94437
154	17321	94432
155	17503	94700
156	17660	94828
157	17780	94752
158	17804	94173
159	17932	94146
160	18053	94082
161	18192	94109
162	18419	94585
163	18565	94639
164	18722	94746
165	18859	94752
166	18986	94703
167	19105	94617
168	19210	94462
169	19345	94451
170	19466	94374
171	19653	94610
172	19807	94687
173	19955	94731
174	20130	94901
175	20299	95038
176	20433	95010
177	20502	94679
178	20649	94710
179	20754	94548
180	20849	94343
181	21010	94431
182	21150	94424
183	21303	94475
184	21349	94054
185	21489	94044
186	21640	94085
187	21797	94145
188	21939	94141
189	22064	94064
190	22210	94073
191	22376	94168
192	22532	94218
193	22662	94153
194	22790	94085
195	22928	94052
196	23060	93999
197	23211	94017
198	23341	93952
199	23477	93911
200	23599	93811
201	23746	93810
202	23868	93710
203	24014	93703
204	24118	93533
205	24245	93451
206	24372	93368
207	24502	93299
208	24627	93206
209	24744	93085
210	24882	93045
211	25027	93027
212	25126	92838
213	25188	92516
214	25312	92421
215	25467	92437
216	25624	92461
217	25766	92429
218	25902	92372
219	26035	92306
220	26161	92215
221	26303	92180
222	26450	92160
223	26580	92081
224	26727	92062
225	26870	92024
226	27010	91978
227	27144	91911
228	27267	91803
229	27420	91799
230	27557	91740
231	27691	91667
232	27832	91620
233	27940	91463
234	28058	91339
235	28146	91119
236	28266	91002
237	28367	90822
238	28495	90733
239	28610	90601
240	28676	90312
241	28771	90119
242	28876	89955
243	29021	89919
244	29073	89594
245	29212	89537
246	29357	89499
247	29496	89440
248	29664	89471
249	29775	89326
250	29927	89305
251	30063	89235
252	30162	89056
253	30252	88853
254	30355	88684
255	30467	88546
256	30615	88511
257	30730	88381
258	30828	88199
259	30941	88063
260	31032	87866
